运单号,目的分拨编码,目的分拨,网点编码,目的网点,省份编码,省份,城市编码,城市,区县编码,区县,派件业务员,是否三方签收,三方签收设备,设备类型,签收时间,rmk_inf,地址
6000080682412,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1567,是,tonglu_xiaozhan,驿站,2020-03-21 08:42:53,平关韵达快递超市(平关镇天猫优品服务站),贵州省 六盘水市 盘县
4304716103021,550088.0,贵州贵阳分拨中心,561601,贵州盘县公司老城分部,520000,贵州省,520200,六盘水市,520222,盘县,2000,否,,,2020-04-13 16:08:58,,贵州省 六盘水市 盘县
4304476121228,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,1314,否,,,2020-04-02 17:30:44,,贵州省 六盘水市 盘县
4602504856687,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,否,,,2020-04-01 20:12:32,,贵州省 六盘水市 盘县
4304000068178,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,1009,否,,,2020-03-10 19:18:45,,贵州省 六盘水市 盘县
4305060596064,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,8678,是,tonglu_xiaozhan,驿站,2020-04-28 17:45:21,南城小区2号楼兔喜韵达快递超市(干沟桥南城小区2号楼兔喜快递超市),贵州省 六盘水市 盘县
4603048671127,550088.0,贵州贵阳分拨中心,782378,贵州盘县公司鸡场坪便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,3130,是,tonglu_xiaozhan,驿站,2020-05-19 17:35:47,鸡场坪汽车站内韵达快递超市(鸡场坪客运站内),贵州省 六盘水市 盘县
3580890025612,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4449,否,,,2020-05-08 16:59:44,,贵州省 六盘水市 盘县
4304258195250,550088.0,贵州贵阳分拨中心,782080,贵州盘县公司乐民镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,3488,是,tonglu_xiaozhan,驿站,2020-03-24 20:40:50,韵达快递超市(盘州市乐民镇农村信用社斜对面),贵州省 六盘水市 盘县
3103580594675,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5546,否,,,2020-05-24 08:37:43,,贵州省 六盘水市 盘县
4602357383902,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3025,否,,,2020-03-21 18:51:23,,贵州省 六盘水市 盘县
4304870367028,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,否,,,2020-04-21 20:14:00,,贵州省 六盘水市 盘县
4602691192910,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4131,否,,,2020-04-23 20:43:42,,贵州省 六盘水市 盘县
4305680267925,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3899,否,,,2020-05-23 14:41:28,,贵州省 六盘水市 盘县
4603051939295,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8500,否,,,2020-05-20 18:51:18,,贵州省 六盘水市 盘县
4602947926400,550088.0,贵州贵阳分拨中心,781892,贵州盘县公司洒基镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,4923,是,tonglu_xiaozhan,驿站,2020-05-11 16:52:44,洒基云欣路87号韵达快递超市(洒基云中路),贵州省 六盘水市 盘县
4304936079127,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,1014,否,,,2020-04-24 13:41:33,,贵州省 六盘水市 盘县
4305061341836,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,8630,否,,,2020-04-30 14:50:54,,贵州省 六盘水市 盘县
4305152392812,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8888,否,,,2020-04-30 18:27:21,,贵州省 六盘水市 盘县
4602877289889,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3024,是,tonglu_xiaozhan,驿站,2020-05-06 20:37:18,新民镇韵达快递韵达快递超市(新民镇老街新街交叉口),贵州省 六盘水市 盘县
4303985839320,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6020,否,,,2020-03-10 19:59:02,,贵州省 六盘水市 盘县
4602304596684,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3111,是,tonglu_xiaozhan,驿站,2020-03-15 20:08:40,盘州市坪地韵达营业部韵达快递超市(坪地乡街上新农贸市场鑫鑫网吧旁韵达快递),贵州省 六盘水市 盘县
4602775478594,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3030,否,,,2020-04-30 19:05:16,,贵州省 六盘水市 盘县
4305480075016,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3899,否,,,2020-05-15 14:26:54,,贵州省 六盘水市 盘县
4304247596373,550088.0,贵州贵阳分拨中心,781892,贵州盘县公司洒基镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,4923,是,tonglu_xiaozhan,驿站,2020-03-24 19:10:44,洒基云欣路87号韵达快递超市(洒基云中路),贵州省 六盘水市 盘县
4602640582230,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8078,否,,,2020-04-16 18:04:27,,贵州省 六盘水市 盘县
4304116896269,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,否,,,2020-03-17 19:22:11,,贵州省 六盘水市 盘县
4602538135120,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3011,是,tonglu_xiaozhan,驿站,2020-04-06 17:46:58,马场幼儿园下20米韵达快递超市(马场幼儿园下20米韵达超市),贵州省 六盘水市 盘县
2000020020045,,,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3004,否,,,2020-04-02 14:24:55,,贵州省 六盘水市 盘县
4304606523086,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7677,是,tonglu_xiaozhan,驿站,2020-04-08 14:40:46,火铺新农村韵达快递超市(火铺镇新农村韵达快递),贵州省 六盘水市 盘县
4304458437816,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,1004,否,,,2020-04-01 12:07:15,,贵州省 六盘水市 盘县
4305048138287,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1300,否,,,2020-04-29 11:56:07,,贵州省 六盘水市 盘县
4304738255417,,,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,否,,,2020-04-17 19:18:17,,贵州省 六盘水市 盘县
4305164540626,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4449,否,,,2020-05-02 13:16:29,,贵州省 六盘水市 盘县
4602481437961,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6989,是,tonglu_xiaozhan,驿站,2020-03-23 13:16:56,东湖国际点韵达快递超市(红果东湖国际花鸟步行街韵达快递8-1-2),贵州省 六盘水市 盘县
4602454646467,550088.0,贵州贵阳分拨中心,781892,贵州盘县公司洒基镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,4923,是,tonglu_xiaozhan,驿站,2020-03-27 19:29:00,洒基云欣路87号韵达快递超市(洒基云中路),贵州省 六盘水市 盘县
4602520591290,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,8678,是,tonglu_xiaozhan,驿站,2020-04-04 17:18:06,福泽家园二栋一单元兔喜韵达快递超市(福泽家园二栋一单元兔喜快递超市),贵州省 六盘水市 盘县
4305696463971,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3016,是,tonglu_xiaozhan,驿站,2020-05-25 16:57:22,贵州盘县断江韵达快递韵达快递超市(断江镇江上南路47号),贵州省 六盘水市 盘县
4305249431485,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4005,否,,,2020-05-06 18:41:11,,贵州省 六盘水市 盘县
4602372981988,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3026,否,,,2020-03-22 18:26:09,,贵州省 六盘水市 盘县
4602573461145,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6018,是,tonglu_xiaozhan,驿站,2020-04-11 17:44:34,老厂镇韵达快递超市(老厂镇政府下面100米),贵州省 六盘水市 盘县
4602719311894,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,2000,否,,,2020-04-25 18:24:37,,贵州省 六盘水市 盘县
4602340199434,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8078,否,,,2020-03-10 18:32:52,,贵州省 六盘水市 盘县
4304856646115,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8970,否,,,2020-04-20 20:10:12,,贵州省 六盘水市 盘县
4304470299722,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4449,否,,,2020-03-31 21:12:39,,贵州省 六盘水市 盘县
4602842503603,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,是,tonglu_xiaozhan,驿站,2020-05-03 15:31:11,柏果镇韵达快递超市(柏果镇建设银行后),贵州省 六盘水市 盘县
4305380100513,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4005,否,,,2020-05-11 18:55:56,,贵州省 六盘水市 盘县
4304822770036,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4573,否,,,2020-04-19 17:48:08,,贵州省 六盘水市 盘县
4602771324161,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,1011,否,,,2020-05-01 19:18:12,,贵州省 六盘水市 盘县
4603061628332,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8500,否,,,2020-05-20 18:44:25,,贵州省 六盘水市 盘县
4304000492163,550088.0,贵州贵阳分拨中心,782080,贵州盘县公司乐民镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,3488,是,tonglu_xiaozhan,驿站,2020-03-11 20:58:12,韵达快递韵达快递超市(乐民镇农村信用社斜对面),贵州省 六盘水市 盘县
4602433434854,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7525,否,,,2020-03-28 12:44:28,,贵州省 六盘水市 盘县
4304344848731,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3024,是,tonglu_xiaozhan,驿站,2020-03-28 21:46:23,新民镇韵达快递韵达快递超市(新民镇老街新街交叉口),贵州省 六盘水市 盘县
4305561826306,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,是,tonglu_xiaozhan,驿站,2020-05-18 15:32:16,柏果镇韵达快递超市(柏果镇建设银行后),贵州省 六盘水市 盘县
4602311643813,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,1314,否,,,2020-03-16 15:55:45,,贵州省 六盘水市 盘县
4305480615022,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4131,否,,,2020-05-16 20:29:49,,贵州省 六盘水市 盘县
4304364772861,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6668,否,,,2020-03-26 19:08:08,,贵州省 六盘水市 盘县
3572440032752,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4005,是,tonglu_xiaozhan,驿站,2020-05-24 15:15:56,亦资孔十一中百世快递门店韵达快递超市(亦资孔十一中百世快递门店韵达快递超市),贵州省 六盘水市 盘县
4304388207469,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,否,,,2020-03-30 20:19:35,,贵州省 六盘水市 盘县
4602491815741,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6017,是,tonglu_xiaozhan,驿站,2020-03-31 21:20:08,贵州省六盘水市盘县羊场韵达快递超市(羊场乡邮政局下来一百米原老政府对面),贵州省 六盘水市 盘县
4602282934608,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,8960,否,,,2020-03-12 19:30:29,,贵州省 六盘水市 盘县
4602993796505,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,5818,否,,,2020-05-15 16:28:20,,贵州省 六盘水市 盘县
4305140672731,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6666,否,,,2020-04-29 19:01:30,,贵州省 六盘水市 盘县
4305349621045,550088.0,贵州贵阳分拨中心,782378,贵州盘县公司鸡场坪便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,3130,是,tonglu_xiaozhan,驿站,2020-05-10 19:06:27,鸡场坪汽车站内韵达快递超市(鸡场坪客运站内),贵州省 六盘水市 盘县
4305213830362,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5704,否,,,2020-05-06 14:40:43,,贵州省 六盘水市 盘县
4603041509460,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3026,否,,,2020-05-18 17:48:03,,贵州省 六盘水市 盘县
4602423441897,550088.0,贵州贵阳分拨中心,561601,贵州盘县公司老城分部,520000,贵州省,520200,六盘水市,520222,盘县,7637,否,,,2020-03-29 17:25:13,,贵州省 六盘水市 盘县
4602344331046,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8078,否,,,2020-03-10 18:34:55,,贵州省 六盘水市 盘县
4303883612332,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,2222,否,,,2020-03-04 14:33:52,,贵州省 六盘水市 盘县
4304798396209,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5347,否,,,2020-04-18 18:07:49,,贵州省 六盘水市 盘县
4602423032697,550088.0,贵州贵阳分拨中心,781892,贵州盘县公司洒基镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,4923,是,tonglu_xiaozhan,驿站,2020-03-29 18:49:46,洒基云欣路87号韵达快递超市(洒基云中路),贵州省 六盘水市 盘县
4602650586158,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,2733,否,,,2020-04-15 13:36:31,,贵州省 六盘水市 盘县
4602772889711,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3016,是,tonglu_xiaozhan,驿站,2020-04-30 17:56:48,贵州盘县断江韵达快递韵达快递超市(断江镇江上南路47号),贵州省 六盘水市 盘县
3103608336372,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5546,否,,,2020-05-24 08:37:34,,贵州省 六盘水市 盘县
4305282649045,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4005,否,,,2020-05-07 18:13:17,,贵州省 六盘水市 盘县
4304970674828,550088.0,贵州贵阳分拨中心,561601,贵州盘县公司老城分部,520000,贵州省,520200,六盘水市,520222,盘县,2425,否,,,2020-04-24 14:51:14,,贵州省 六盘水市 盘县
4305017051713,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3111,是,tonglu_xiaozhan,驿站,2020-04-27 20:33:45,盘州市坪地韵达营业部韵达快递超市(坪地乡街上新农贸市场鑫鑫网吧旁韵达快递),贵州省 六盘水市 盘县
4304699554276,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8500,否,,,2020-04-13 17:56:01,,贵州省 六盘水市 盘县
4304665798119,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1300,否,,,2020-04-13 13:07:42,,贵州省 六盘水市 盘县
4305008507473,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1300,否,,,2020-04-26 13:10:27,,贵州省 六盘水市 盘县
4303966017608,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,8630,否,,,2020-03-09 13:34:08,,贵州省 六盘水市 盘县
4602272621021,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3435,否,,,2020-03-08 11:17:01,,贵州省 六盘水市 盘县
4602723234360,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,是,tonglu_xiaozhan,驿站,2020-04-25 15:53:20,柏果镇韵达快递超市(柏果镇建设银行后),贵州省 六盘水市 盘县
3514910799518,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,1009,否,,,2020-05-04 19:33:02,,贵州省 六盘水市 盘县
4304495034019,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,5818,否,,,2020-04-04 15:41:49,,贵州省 六盘水市 盘县
3103322117343,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6017,否,,,2020-04-16 20:23:25,,贵州省 六盘水市 盘县
4602731853064,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3025,否,,,2020-04-24 18:15:23,,贵州省 六盘水市 盘县
4305138519629,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6668,否,,,2020-04-29 19:03:38,,贵州省 六盘水市 盘县
3103140818994,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8500,否,,,2020-05-23 17:39:56,,贵州省 六盘水市 盘县
4305041718506,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4131,否,,,2020-04-28 20:22:19,,贵州省 六盘水市 盘县
4304066317118,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7529,否,,,2020-03-14 14:49:59,,贵州省 六盘水市 盘县
4304718433719,550088.0,贵州贵阳分拨中心,782080,贵州盘县公司乐民镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,3488,是,tonglu_xiaozhan,驿站,2020-04-14 20:45:50,韵达快递超市(盘州市乐民镇农村信用社斜对面),贵州省 六盘水市 盘县
4304634446916,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5704,否,,,2020-04-10 12:34:53,,贵州省 六盘水市 盘县
4303872532496,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7677,是,tonglu_xiaozhan,驿站,2020-03-04 15:38:07,火铺镇韵达快递韵达快递超市(胜境街道火铺镇),贵州省 六盘水市 盘县
4602688020515,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6017,是,tonglu_xiaozhan,驿站,2020-04-22 18:34:57,贵州省六盘水市盘县羊场韵达快递超市(羊场乡邮政局下来一百米原老政府对面),贵州省 六盘水市 盘县
4602799093564,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4005,否,,,2020-04-25 19:03:04,,贵州省 六盘水市 盘县
4602264459455,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,8500,否,,,2020-03-09 17:54:07,,贵州省 六盘水市 盘县
4304211781080,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1567,是,tonglu_xiaozhan,驿站,2020-03-21 15:42:27,平关韵达快递超市(平关镇天猫优品服务站),贵州省 六盘水市 盘县
4304165245622,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7528,否,,,2020-03-19 15:23:32,,贵州省 六盘水市 盘县
4602547441698,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7677,是,tonglu_xiaozhan,驿站,2020-04-06 14:22:44,火铺新农村韵达快递超市(火铺镇新农村韵达快递),贵州省 六盘水市 盘县
4305015452886,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3024,是,tonglu_xiaozhan,驿站,2020-04-26 18:22:48,新民镇韵达快递韵达快递超市(新民镇老街新街交叉口),贵州省 六盘水市 盘县
4304460633932,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,2222,否,,,2020-04-02 17:09:36,,贵州省 六盘水市 盘县
4304866100082,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5347,否,,,2020-04-20 18:20:27,,贵州省 六盘水市 盘县
4304077931056,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,1001,是,tonglu_xiaozhan,驿站,2020-03-15 13:39:16,大樱桃树小区韵达快递韵达快递超市(两河新区大樱桃树小区68号),贵州省 六盘水市 盘县
4602382376600,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1028,否,,,2020-03-17 23:18:08,,贵州省 六盘水市 盘县
4602557956276,550088.0,贵州贵阳分拨中心,782378,贵州盘县公司鸡场坪便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,3130,是,tonglu_xiaozhan,驿站,2020-04-11 16:37:21,鸡场坪汽车站内韵达快递超市(鸡场坪客运站内),贵州省 六盘水市 盘县
4247390357770,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1300,否,,,2020-04-21 13:57:49,,贵州省 六盘水市 盘县
4602579992009,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5888,是,tonglu_xiaozhan,驿站,2020-04-12 14:28:40,浅水湾二期韵达快递超市(浅水湾后门煌庭酒店停车场旁),贵州省 六盘水市 盘县
4304390447754,550088.0,贵州贵阳分拨中心,561601,贵州盘县公司老城分部,520000,贵州省,520200,六盘水市,520222,盘县,8843,否,,,2020-03-30 20:07:33,,贵州省 六盘水市 盘县
4602626714807,550088.0,贵州贵阳分拨中心,561601,贵州盘县公司老城分部,520000,贵州省,520200,六盘水市,520222,盘县,2000,否,,,2020-04-14 15:06:00,,贵州省 六盘水市 盘县
4305118695639,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,6668,否,,,2020-04-28 18:35:59,,贵州省 六盘水市 盘县
4305385615512,550088.0,贵州贵阳分拨中心,553854,贵州盘县公司响水路二分部,520000,贵州省,520200,六盘水市,520222,盘县,8630,否,,,2020-05-11 16:00:42,,贵州省 六盘水市 盘县
4602500586260,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,4573,否,,,2020-04-03 16:52:36,,贵州省 六盘水市 盘县
